,id_sampl,Survey,strata_id,OBJECTID_12,OBJECTID,ID,Dataset,Settlement,PopGroup,Latitude,Longitude,TotalPop,TotalHH,ADM3_EN,ADM3_PCODE,INEC_code,eHealth_co,ADM3_REF,ADM3ALT1EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,psu_id,pop_numbers,SumDist,proba,survey_buffer
14,id_10210,5,Maiha,10210,10284,10840,VTS_Dataset_Extract_25052019,Dachere,Non-Displaced,9.67132,13.10132,145,20,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Dachere,20,8154,0.002452784,5
15,id_10211,5,Maiha,10211,10306,13266,VTS_Dataset_Extract_25052019,Wuro Sambol,Non-Displaced,9.63286,13.09901,186,26,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Wuro Sambol,26,8154,0.003188619,5
16,id_10214,10,Maiha,10214,10354,17364,VTS_Dataset_Extract_25052019,Fesingo,Non-Displaced,9.65133999,13.09793412,4059,567,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Fesingo,567,8154,0.069536424,10
17,id_10216,10,Maiha,10216,10358,18083,IOM_DTM_Returns_XXVI,KONKOL,Returnees,9.64681,13.10149,1512,189,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,KONKOL,189,8154,0.023178808,10
18,id_10219,5,Maiha,10219,10367,19119,IOM_DTM_Location_XXVI,HULERE,IDP,9.64793,13.1036,669,75,Konkol,NG002011003,NGA002011103,ADSMAH03,Konkol,Konkol,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,HULERE,75,8154,0.00919794,5
19,id_10248,5,Maiha,10248,10268,10824,VTS_Dataset_Extract_25052019,Jalingo,Non-Displaced,10.06911514,13.17477609,122,17,Manjekin,NG002011005,NGA002011105,ADSMAH05,Manjekin,Manjekin,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Jalingo,17,8154,0.002084866,5
20,id_10258,5,Maiha,10258,10302,13262,VTS_Dataset_Extract_25052019,Wuro Bokki,Non-Displaced,10.04265592,13.13624349,177,25,Manjekin,NG002011005,NGA002011105,ADSMAH05,Manjekin,Manjekin,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Wuro Bokki,25,8154,0.00306598,5
21,id_10273,5,Maiha,10273,10345,15662,VTS_Dataset_Extract_25052019,Hubare Maiha,Non-Displaced,10.09064,13.09794,472,66,Manjekin,NG002011005,NGA002011105,ADSMAH05,Manjekin,Manjekin,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Hubare Maiha,66,8154,0.008094187,5
22,id_10283,10,Maiha,10283,10304,13264,VTS_Dataset_Extract_25052019,Buhu,Non-Displaced,10.0501763,13.16934574,181,25,Mayo Nguli,NG002011006,NGA002011106,ADSMAH06,Mayo Nguli,Mayonguli,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Buhu,25,8154,0.00306598,10
23,id_10288,5,Maiha,10288,10244,8295,VTS_Dataset_Extract_25052019,Basulum B,Non-Displaced,10.10808817,13.17305118,99,14,Pakka,NG002011007,NGA002011107,ADSMAH07,Pakka,Pakka,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Basulum B,14,8154,0.001716949,5
24,id_10293,5,Maiha,10293,10347,15664,VTS_Dataset_Extract_25052019,Sabon Layi,Non-Displaced,10.119536,13.17062326,525,73,Pakka,NG002011007,NGA002011107,ADSMAH07,Pakka,Pakka,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Sabon Layi,73,8154,0.008952661,5
25,id_10312,5,Maiha,10312,10209,8260,VTS_Dataset_Extract_25052019,HA_27,Non-Displaced,9.87781865,13.09677251,66,9,Sorau A,NG002011008,NGA002011108,ADSMAH08,Sorau A,Sorau 'A',Maiha,NG002011,Adamawa,NG002,Nigeria,NG,HA_27,9,8154,0.001103753,5
26,id_10328,5,Maiha,10328,10310,13270,VTS_Dataset_Extract_25052019,Koronsa B,Non-Displaced,9.87536967,13.08730851,202,28,Sorau A,NG002011008,NGA002011108,ADSMAH08,Sorau A,Sorau 'A',Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Koronsa B,28,8154,0.003433897,5
27,id_1035,5,Bursari,1035,1082,14656,VTS_Dataset_Extract_25052019,Mandu Mari Abba,Non-Displaced,12.88044915,11.40746204,315,39,Kaliyari,NG036002008,NGA036002208,70202,Kaliyari,Kaliyari,Bursari,NG036002,Yobe,NG036,Nigeria,NG,Mandu Mari Abba,39,16315,0.002390438,5
28,id_10369,5,Maiha,10369,10250,8301,VTS_Dataset_Extract_25052019,Jalingo,Non-Displaced,9.99286,13.13954,106,15,Tambajam,NG002011010,NGA002011110,ADSMAH10,Tambajam,Tambajam,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Jalingo,15,8154,0.001839588,5
29,id_10374,5,Maiha,10374,10303,13263,VTS_Dataset_Extract_25052019,Kubaje Les,Non-Displaced,10.00031513,13.12941967,179,25,Tambajam,NG002011010,NGA002011110,ADSMAH10,Tambajam,Tambajam,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Kubaje Les,25,8154,0.00306598,5
30,id_10376,5,Maiha,10376,10328,15645,VTS_Dataset_Extract_25052019,Kubaje Dou,Non-Displaced,10.00561971,13.1298398,285,40,Tambajam,NG002011010,NGA002011110,ADSMAH10,Tambajam,Tambajam,Maiha,NG002011,Adamawa,NG002,Nigeria,NG,Kubaje Dou,40,8154,0.004905568,5
31,id_10451,5,Mayo-Belwa,10451,11055,13364,VTS_Dataset_Extract_25052019,Mading,Non-Displaced,8.69813538,11.83083725,202,37,Binyeri,NG002012002,NGA002012202,ADSMWA02,Binyeri,Binyeri,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Mading,37,30235,0.001223747,5
32,id_10459,5,Mayo-Belwa,10459,11180,15723,VTS_Dataset_Extract_25052019,Gwamnati,Non-Displaced,8.73650169,11.8434763,361,66,Binyeri,NG002012002,NGA002012202,ADSMWA02,Binyeri,Binyeri,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Gwamnati,66,30235,0.002182901,5
33,id_1053,10,Bursari,1053,1150,16950,VTS_Dataset_Extract_25052019,Kaliyari,Non-Displaced,12.84375595,11.52316788,4502,561,Kaliyari,NG036002008,NGA036002208,70202,Kaliyari,Kaliyari,Bursari,NG036002,Yobe,NG036,Nigeria,NG,Kaliyari,561,16315,0.034385535,10
34,id_10565,5,Mayo-Belwa,10565,10759,8419,VTS_Dataset_Extract_25052019,Daubeli,Non-Displaced,9.22268963,12.0197506,91,17,Gengle,NG002012004,NGA002012204,ADSMWA04,Gengle,Gengle,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Daubeli,17,30235,0.000562262,5
35,id_10573,5,Mayo-Belwa,10573,10874,10913,VTS_Dataset_Extract_25052019,Doubeli,Non-Displaced,9.2154,12.02166,125,23,Gengle,NG002012004,NGA002012204,ADSMWA04,Gengle,Gengle,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Doubeli,23,30235,0.000760708,5
36,id_10705,5,Mayo-Belwa,10705,10914,10953,VTS_Dataset_Extract_25052019,Gangvan,Non-Displaced,8.87938881,11.96977615,135,25,Jereng,NG002012008,NGA002012208,ADSMWA06,Jereng,Nassarawo Jereng,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Gangvan,25,30235,0.000826856,5
37,id_10707,5,Mayo-Belwa,10707,10932,10971,VTS_Dataset_Extract_25052019,Tasha,Non-Displaced,8.87567616,11.98114872,142,26,Jereng,NG002012008,NGA002012208,ADSMWA06,Jereng,Nassarawo Jereng,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Tasha,26,30235,0.000859931,5
38,id_10716,5,Mayo-Belwa,10716,11038,13347,VTS_Dataset_Extract_25052019,Timlon,Non-Displaced,8.83997462,12.00898729,189,34,Jereng,NG002012008,NGA002012208,ADSMWA06,Jereng,Nassarawo Jereng,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Timlon,34,30235,0.001124525,5
39,id_10719,5,Mayo-Belwa,10719,11060,13369,VTS_Dataset_Extract_25052019,Wuro Baye,Non-Displaced,8.90492531,11.9899961,203,37,Jereng,NG002012008,NGA002012208,ADSMWA06,Jereng,Nassarawo Jereng,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Wuro Baye,37,30235,0.001223747,5
40,id_10799,5,Mayo-Belwa,10799,10650,8310,VTS_Dataset_Extract_25052019,HA_103,Non-Displaced,9.01904514,12.16124332,64,12,Mayo Farang,NG002012006,NGA002012206,ADSMWA07,Mayo Farang,Mayo Farang,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,HA_103,12,30235,0.000396891,5
41,id_10829,5,Mayo-Belwa,10829,10761,8421,VTS_Dataset_Extract_25052019,Lainde Lama,Non-Displaced,8.98169806,12.13775282,91,17,Mayo Farang,NG002012006,NGA002012206,ADSMWA07,Mayo Farang,Mayo Farang,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Lainde Lama,17,30235,0.000562262,5
42,id_10885,5,Mayo-Belwa,10885,10934,10973,VTS_Dataset_Extract_25052019,Bobda,Non-Displaced,8.87199593,12.03251839,142,26,Mayo Farang,NG002012006,NGA002012206,ADSMWA07,Mayo Farang,Mayo Farang,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Bobda,26,30235,0.000859931,5
43,id_10922,5,Mayo-Belwa,10922,11087,13396,VTS_Dataset_Extract_25052019,Wuro Modibbo,Non-Displaced,8.93891239,12.16501904,228,42,Mayo Farang,NG002012006,NGA002012206,ADSMWA07,Mayo Farang,Mayo Farang,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Wuro Modibbo,42,30235,0.001389119,5
44,id_10935,5,Mayo-Belwa,10935,11133,15676,VTS_Dataset_Extract_25052019,HA_78,Non-Displaced,8.93086889,12.07200339,273,50,Mayo Farang,NG002012006,NGA002012206,ADSMWA07,Mayo Farang,Mayo Farang,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,HA_78,50,30235,0.001653713,5
45,id_10969,35,Mayo-Belwa,10969,11260,17374,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,9.05181651,12.05836955,21122,3849,Mbilla,NG002012007,NGA002012207,ADSMWA08,Mbilla,Mayo-Belwa,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Garin Liman,3849,30235,0.127302795,35
46,id_11,10,Askira/Uba,11,28,17631,VTS_Dataset_Extract_25052019,U Beriberi,Non-Displaced,10.65333757,12.9133341,8776,1691,Askira East,NG008002001,NGA008002201,10201,Askira East,Askira East,Askira/Uba,NG008002,Borno,NG008,Nigeria,NG,U Beriberi,1691,15893,0.106399044,10
47,id_11006,5,Mayo-Belwa,11006,10740,8400,VTS_Dataset_Extract_25052019,HA_30,Non-Displaced,9.15842223,12.06351389,87,16,Ndikong,NG002012009,NGA002012209,ADSMWA09,Ndikong,Ndikong,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,HA_30,16,30235,0.000529188,5
48,id_11157,5,Mayo-Belwa,11157,10967,11006,VTS_Dataset_Extract_25052019,Kubba,Non-Displaced,8.79934588,11.93625525,156,28,Tola,NG002012011,NGA002012211,ADSMWA11,Tola,Tola,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Kubba,28,30235,0.000926079,5
49,id_11175,5,Mayo-Belwa,11175,11170,15713,VTS_Dataset_Extract_25052019,Wurp Jama'a,Non-Displaced,8.76089,11.94897,340,62,Tola,NG002012011,NGA002012211,ADSMWA11,Tola,Tola,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Wurp Jama'a,62,30235,0.002050604,5
50,id_11184,5,Mayo-Belwa,11184,11252,17366,VTS_Dataset_Extract_25052019,Bura Tola,Non-Displaced,8.77285033,11.9579044,1003,183,Tola,NG002012011,NGA002012211,ADSMWA11,Tola,Tola,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Bura Tola,183,30235,0.006052588,5
51,id_11219,5,Mayo-Belwa,11219,10696,8356,VTS_Dataset_Extract_25052019,Satte Fulani,Non-Displaced,9.02844207,12.02178467,75,14,Yoffo,NG002012012,NGA002012212,ADSMWA12,Yoffo,Yoffo,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Satte Fulani,14,30235,0.00046304,5
52,id_11246,5,Mayo-Belwa,11246,10917,10956,VTS_Dataset_Extract_25052019,Binkola Jafure,Non-Displaced,8.9978869,12.04424028,137,25,Yoffo,NG002012012,NGA002012212,ADSMWA12,Yoffo,Yoffo,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Binkola Jafure,25,30235,0.000826856,5
53,id_11249,5,Mayo-Belwa,11249,10948,10987,VTS_Dataset_Extract_25052019,Gatugel,Non-Displaced,9.01262989,11.9103755,146,27,Yoffo,NG002012012,NGA002012212,ADSMWA12,Yoffo,Yoffo,Mayo-Belwa,NG002012,Adamawa,NG002,Nigeria,NG,Gatugel,27,30235,0.000893005,5
54,id_11277,5,Michika,11277,11323,17377,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,10.57184207,13.32198141,4417,724,Bazza Margi,NG002013001,NGA002013301,ADSMCH01,Bazza Margi,Bazza Margi,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Garin Liman,724,25413,0.028489356,5
55,id_11279,5,Michika,11279,11336,18123,IOM_DTM_Returns_XXVI,POLO,Returnees,10.56901,13.32011,1369,273,Bazza Margi,NG002013001,NGA002013301,ADSMCH01,Bazza Margi,Bazza Margi,Michika,NG002013,Adamawa,NG002,Nigeria,NG,POLO,273,25413,0.010742533,5
56,id_11281,5,Michika,11281,11351,19146,IOM_DTM_Location_XXVI,BAZZA,IDP,10.56825,13.32524,1717,344,Bazza Margi,NG002013001,NGA002013301,ADSMCH01,Bazza Margi,Bazza Margi,Michika,NG002013,Adamawa,NG002,Nigeria,NG,BAZZA,344,25413,0.013536379,5
57,id_11297,5,Michika,11297,11321,17375,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,10.57639013,13.33894256,2415,396,Jigalambu,NG002013004,NGA002013304,ADSMCH04,Jigalambu,Jigalambu,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Garin Liman,396,25413,0.015582576,5
58,id_11299,5,Michika,11299,11333,18120,IOM_DTM_Returns_XXVI,CHIMI,Returnees,10.57901,13.34211,1399,280,Jigalambu,NG002013004,NGA002013304,ADSMCH04,Jigalambu,Jigalambu,Michika,NG002013,Adamawa,NG002,Nigeria,NG,CHIMI,280,25413,0.011017983,5
59,id_11300,5,Michika,11300,11334,18121,IOM_DTM_Returns_XXVI,JIGILAMBU,Returnees,10.5768,13.338,5237,1047,Jigalambu,NG002013004,NGA002013304,ADSMCH04,Jigalambu,Jigalambu,Michika,NG002013,Adamawa,NG002,Nigeria,NG,JIGILAMBU,1047,25413,0.041199386,5
60,id_11306,5,Michika,11306,11319,15801,VTS_Dataset_Extract_25052019,Mundranye,Non-Displaced,10.60367156,13.35310908,646,106,Madzi,NG002013005,NGA002013305,ADSMCH05,Madzi,Madzi,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Mundranye,106,25413,0.004171094,5
61,id_11312,20,Michika,11312,11326,17380,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,10.6183451,13.38577525,12801,2097,Michika 1,NG002013006,NGA002013306,ADSMCH06,Michika 1,Michika  I,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Garin Liman,2097,25413,0.082516822,20
62,id_11314,10,Michika,11314,11340,18132,IOM_DTM_Returns_XXVI,ZAIBADARI,Returnees,10.6225,13.39078,2497,499,Michika 1,NG002013006,NGA002013306,ADSMCH06,Michika 1,Michika  I,Michika,NG002013,Adamawa,NG002,Nigeria,NG,ZAIBADARI,499,25413,0.01963562,10
63,id_11321,25,Michika,11321,11327,17381,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,10.63092926,13.38839295,14491,2374,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Garin Liman,2374,25413,0.093416755,25
64,id_11325,10,Michika,11325,11343,18135,IOM_DTM_Returns_XXVI,SANGERE I,Returnees,10.6238,13.39245,3019,603,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,SANGERE I,603,25413,0.023728013,10
65,id_11326,5,Michika,11326,11344,18136,IOM_DTM_Returns_XXVI,SANGERE II,Returnees,10.6267,13.39074,3274,651,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,SANGERE II,651,25413,0.02561681,5
66,id_11327,10,Michika,11327,11345,18138,IOM_DTM_Returns_XXVI,JIDDEL,Returnees,10.6175,13.39558,3968,776,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,JIDDEL,776,25413,0.030535553,10
67,id_11328,5,Michika,11328,11346,18141,IOM_DTM_Returns_XXVI,WANNEI,Returnees,10.6385,13.38748,1585,317,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,WANNEI,317,25413,0.012473931,5
68,id_11329,5,Michika,11329,11348,18143,IOM_DTM_Returns_XXVI,MODA A,Returnees,10.62808,13.39501,4624,925,Michika 2,NG002013007,NGA002013307,ADSMCH07,Michika 2,Michika  II,Michika,NG002013,Adamawa,NG002,Nigeria,NG,MODA A,925,25413,0.036398694,5
69,id_11340,5,Michika,11340,11371,19175,IOM_DTM_Location_XXVI,MODA A,IDP,10.63067,13.39964,120,24,Moda/Dlaka,NG002013009,NGA002013309,ADSMCH08,Moda/Dlaka,Moda / Dlaka / Ghenjuwa,Michika,NG002013,Adamawa,NG002,Nigeria,NG,MODA A,24,25413,0.000944399,5
70,id_11355,10,Michika,11355,11325,17379,VTS_Dataset_Extract_25052019,Garin Liman,Non-Displaced,10.64104183,13.39454566,6560,1075,Ninkisi/Wuro Ngiki,NG002013008,NGA002013308,ADSMCH10,Ninkisi/Wuro Ngiki,Minkisi/ Wuro Ngiki,Michika,NG002013,Adamawa,NG002,Nigeria,NG,Garin Liman,1075,25413,0.042301184,10
71,id_1137,5,Bursari,1137,977,9501,VTS_Dataset_Extract_25052019,HA_187,Non-Displaced,12.62474786,11.23353801,114,14,Kurnawa,NG036002009,NGA036002209,70203,Kurnawa,Kurnawa,Bursari,NG036002,Yobe,NG036,Nigeria,NG,HA_187,14,16315,0.000858106,5
72,id_11372,5,Michika,11372,11330,18110,IOM_DTM_Returns_XXVI,JULU,Returnees,10.56341,13.31075,2220,444,Tsukumu/Tilijo,NG002013012,NGA002013312,ADSMCH12,Tsukumu/Tilijo,Sukumu / Tillijo,Michika,NG002013,Adamawa,NG002,Nigeria,NG,JULU,444,25413,0.017471373,5
73,id_11381,5,Mobbar,11381,11377,14546,VTS_Dataset_Extract_25052019,G S S Damasak Street,Non-Displaced,13.1099,12.51462,204,55,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,G S S Damasak Street,55,13767,0.003995061,5
74,id_11383,25,Mobbar,11383,11379,17886,VTS_Dataset_Extract_25052019,Mallam Hudu,Non-Displaced,13.10482,12.50613,9401,2534,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,Mallam Hudu,2534,13767,0.18406334,25
75,id_11385,30,Mobbar,11385,11382,18475,IOM_DTM_Returns_XXVI,DAMASAK CENTRAL,Returnees,13.10464,12.50995,7118,1211,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,DAMASAK CENTRAL,1211,13767,0.087963972,30
76,id_11386,5,Mobbar,11386,11383,18476,IOM_DTM_Returns_XXVI,KAIRI,Returnees,13.106,12.51303,9209,1555,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,KAIRI,1555,13767,0.11295126,5
77,id_11387,5,Mobbar,11387,11384,18477,IOM_DTM_Returns_XXVI,LAWANTI,Returnees,13.11248,12.50481,3433,591,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,LAWANTI,591,13767,0.042928743,5
78,id_11388,5,Mobbar,11388,11388,20119,IOM_DTM_Location_XXVI,LAWANTI,IDP,13.11243,12.50516,1363,274,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,LAWANTI,274,13767,0.019902666,5
79,id_11389,5,Mobbar,11389,11389,20120,IOM_DTM_Location_XXVI,DAMASAK CENTRAL,IDP,13.10795,12.50714,1351,235,Damasak,NG008023004,NGA008023304,12203,Damasak,Damasak,Mobbar,NG008023,Borno,NG008,Nigeria,NG,DAMASAK CENTRAL,235,13767,0.017069805,5
80,id_11390,25,Mobbar,11390,11380,17887,VTS_Dataset_Extract_25052019,Bura Bubushin,Non-Displaced,13.100215,12.51176333,9779,2636,Zulum Umarti,NG008023009,NGA008023309,12209,Zulum Umarti,Zanna Umorti,Mobbar,NG008023,Borno,NG008,Nigeria,NG,Bura Bubushin,2636,13767,0.191472361,25
81,id_11391,20,Mobbar,11391,11385,18480,IOM_DTM_Returns_XXVI,BULAMA A. MODU,Returnees,13.10055,12.50793,5316,1072,Zulum Umarti,NG008023009,NGA008023309,12209,Zulum Umarti,Zanna Umorti,Mobbar,NG008023,Borno,NG008,Nigeria,NG,BULAMA A. MODU,1072,13767,0.077867364,20
82,id_11392,15,Mobbar,11392,11386,18481,IOM_DTM_Returns_XXVI,BULAMA KOYOMBE,Returnees,13.10231,12.51256,6558,1309,Zulum Umarti,NG008023009,NGA008023309,12209,Zulum Umarti,Zanna Umorti,Mobbar,NG008023,Borno,NG008,Nigeria,NG,BULAMA KOYOMBE,1309,13767,0.095082444,15
83,id_11393,15,Mobbar,11393,11387,18482,IOM_DTM_Returns_XXVI,BULAMA KYARI,Returnees,13.09966,12.51005,4440,893,Zulum Umarti,NG008023009,NGA008023309,12209,Zulum Umarti,Zanna Umorti,Mobbar,NG008023,Borno,NG008,Nigeria,NG,BULAMA KYARI,893,13767,0.064865257,15
84,id_11394,5,Mobbar,11394,11390,20121,IOM_DTM_Location_XXVI,KAIRI,IDP,13.10468,12.51259,1269,258,Zulum Umarti,NG008023009,NGA008023309,12209,Zulum Umarti,Zanna Umorti,Mobbar,NG008023,Borno,NG008,Nigeria,NG,KAIRI,258,13767,0.018740466,5
