list_name,name,label,label::Hausa,State,LGA,Ward,livecope,,,,
languages,jukun,Jukun,Jukun,,,,,,,,
languages,kanuri,Kanuri,Kanuri,,,,,,,,
languages,karekare,Kare Kare,Kare kare,,,,,,,,
languages,kiaku,Kibaku,Kibuku,,,,,,,,
languages,kilba,Kilba,Marghi,,,,,,,,
languages,mafa,Mafa,Shuwa Arabic / Chadian Arabic,,,,,,,,
languages,mandara,Mandara,Tiv,,,,,,,,
languages,marghi,Marghi,Waha,,,,,,,,
languages,shuwaarabic,Shuwa Arabic / Chadian Arabic,Zalidiva,,,,,,,,
languages,tiv,Tiv,Wasu daban,,,,,,,,
languages,waha,Waha,,,,,,,,,
languages,97,Other,,,,,,,,,
,,,,,,,,,,,
fluency,fluent,Fluently,,,,,,,,,
fluency,well,Well,,,,,,,,,
fluency,notwell,Not well,,,,,,,,,
fluency,notatall,Not at all,,,,,,,,,
,,,,,,,,,,,
network,airtel,Airtel,,,,,,,,,
network,mtn,MTN,,,,,,,,,
network,glo,Glo/Etisalat,,,,,,,,,
network,97,Other,,,,,,,,,
network,98,No response,,,,,,,,,
network,99,Don't know,,,,,,,,,
,,,,,,,,,,,
radio,yolafm,ABC Yola FM,,,,,,,,,
radio,bc,BBC,,,,,,,,,
radio,brtv,BRTV,,,,,,,,,
radio,dandal,Dandal kura,,,,,,,,,
radio,demsa,Demsa Cameroon FM,,,,,,,,,
radio,deutsche,Deutsche Welle,,,,,,,,,
radio,fombina,Fombina FM,,,,,,,,,
radio,gotel,Gotel FM,,,,,,,,,
radio,kanem,Kanem FM,,,,,,,,,
radio,unimaid,Unimaid radio,,,,,,,,,
radio,lafiya,Lafiya Dole,,,,,,,,,
radio,peace,Peace FM,,,,,,,,,
radio,pulaaku,Pulaaku FM,,,,,,,,,
radio,rfi,Radio France Internationale (RFI),,,,,,,,,
radio,voiceamerica,Voice of America,,,,,,,,,
radio,97,Other,,,,,,,,,
radio,98,No response,,,,,,,,,
radio,99,Don't know,,,,,,,,,
,,,,,,,,,,,
radio_time,morning,In the morning,,,,,,,,,
radio_time,midday,At mid-day,,,,,,,,,
radio_time,afternoon,In the afternoon,,,,,,,,,
radio_time,evening,In the evening,,,,,,,,,
,,,,,,,,,,,
vulnerability,none,None,Babu ko daya,,,,,,,,
vulnerability,pregnant,Pregnant woman,Mace mai ciki,,,,,,,,
vulnerability,breastfeeding,Breastfeeding woman,Mace mai shayarwa,,,,,,,,
vulnerability,separated_child,"Child seperated, from parents or usual guardian (separated child)",Yaro/yarinyar da sun rabu da iyayenta,,,,,,,,
vulnerability,unaccompanied_child,"Child seperated from all family, both immediate and expanded (unaccompanied child)",Yaro ko yarinyar da sun rabu da iyayenta ko da dangi na kurkusa da nesa,,,,,,,,
vulnerability,chronicly_ill,"Person with chronic illness (diabetes, cancer, tuberculosis, chronic coughing, or any other illness that lasts more than 3 months)","Marar lafiya sosai (kamar mai ciwon Siga, Ciwon daji, Tarin fuka, da sauran su)                                                                                                                            Rashin lafiyan da ya wuce wata uku",,,,,,,,
vulnerability,mentally_disabled,Person with mental disability,Mai tabin hankali,,,,,,,,
vulnerability,physically_disabled,Person with physical disability,Mai nakasa ajiki,,,,,,,,
vulnerability,child_hoh,Child head of household,,,,,,,,,
vulnerability,elderly_needs_care,Elderly unable to care for self,,,,,,,,,
,,,,,,,,,,,
breastfeeding_problem,no_issue,No issue experienced,,,,,,,,,
breastfeeding_problem,not_enouigh_milk,Not enough milk,,,,,,,,,
breastfeeding_problem,breast_problems,Brest problems (i.e infection),,,,,,,,,
breastfeeding_problem,not_enough_time,Not enough time,,,,,,,,,
breastfeeding_problem,97,Other,,,,,,,,,
breastfeeding_problem,98,No response,,,,,,,,,
breastfeeding_problem,99,Don't know,,,,,,,,,
,,,,,,,,,,,
liquids_24h,no_liquids,No liquids in the past 24 hours,,,,,,,,,
liquids_24h,powdered_milk,Powdered milk,,,,,,,,,
liquids_24h,canned_mlik,Canned milk,,,,,,,,,
liquids_24h,baby_formula,Baby formula,,,,,,,,,
liquids_24h,fermented_milk,Fermented milk (kindirmo),,,,,,,,,
liquids_24h,animal_mlik,Animal milk,,,,,,,,,
liquids_24h,breastmilk,Breastmilk,,,,,,,,,
liquids_24h,fruit_juice,Fruit juice,,,,,,,,,
liquids_24h,water,Water,,,,,,,,,
liquids_24h,tea,Tea,,,,,,,,,
liquids_24h,97,Other,,,,,,,,,
liquids_24h,98,No response,,,,,,,,,
liquids_24h,99,Don't know,,,,,,,,,
,,,,,,,,,,,
solids_24h,no_other_food,No other foods in the past 24 hours,,,,,,,,,
solids_24h,grains_roots,"Grains, roots or tubers",,,,,,,,,
solids_24h,nuts_pulses,Nuts or pulses,,,,,,,,,
solids_24h,dairy,Dairy products,,,,,,,,,
solids_24h,vitamin_a_veg_fruits,"Vitamin A rich fruits and vegetables (mango, watermelon, sweet potato, carrot...)",,,,,,,,,
solids_24h,other_fruits_vegetables,Other fruits or vegetables,,,,,,,,,
solids_24h,98,No response,,,,,,,,,
solids_24h,99,Don't know,,,,,,,,,
,,,,,,,,,,,
child_weightloss_where,nowhere,Nowhere,,,,,,,,,
child_weightloss_where,hospital,Hospital,,,,,,,,,
child_weightloss_where,phc,PHC,,,,,,,,,
child_weightloss_where,mobile_clinic,Mobile/Outreach clinic,,,,,,,,,
child_weightloss_where,outreach_worker,Village outreach worker,,,,,,,,,
child_weightloss_where,private_doctor,Private doctor,,,,,,,,,
child_weightloss_where,shop_seller,Shop/seller,,,,,,,,,
child_weightloss_where,traditional_pract,Traditional practicioner,,,,,,,,,
child_weightloss_where,pharmacy_dispensary,Pharmacy/dispensary,,,,,,,,,
child_weightloss_where,97,Other,,,,,,,,,
child_weightloss_where,98,No response,,,,,,,,,
child_weightloss_where,99,Don't know,,,,,,,,,
,,,,,,,,,,,
otp_distance,less_than_30min,Less than 30 minutes walk,,,,,,,,,
otp_distance,30min_1h,Between 30 minutes - 1 hour walk,,,,,,,,,
otp_distance,1_3h,Between 1-3 hours walk,,,,,,,,,
otp_distance,more_than_3h,More than 3 hours walk,,,,,,,,,
otp_distance,no_response,No response,,,,,,,,,
otp_distance,dont_know,Don't know,,,,,,,,,
,,,,,,,,,,,
rutf_shared_why,not_enough_food,Not enough food,,,,,,,,,
rutf_shared_why,not_all_children_receive,Not all children receive supplies,,,,,,,,,
rutf_shared_why,adults_like,Adults like the food,,,,,,,,,
rutf_shared_why,child_improve,The child was improving,,,,,,,,,
rutf_shared_why,97,Other,,,,,,,,,
rutf_shared_why,98,No response,,,,,,,,,
rutf_shared_why,99,Don't know,,,,,,,,,
,,,,,,,,,,,
rutf_sold_why,not_enough_food,Not enough food,,,,,,,,,
rutf_sold_why,rutf_no_difference,RUTF was not making a difference,,,,,,,,,
rutf_sold_why,rutf_makes_worse,RUTF was making the child more sick,,,,,,,,,
rutf_sold_why,child_improve,The child was improving,,,,,,,,,
rutf_sold_why,97,Other,,,,,,,,,
rutf_sold_why,98,No response,,,,,,,,,
rutf_sold_why,99,Don't know,,,,,,,,,
,,,,,,,,,,,
bsfp_distance,less_than_30min,Less than 30 minutes walk,,,,,,,,,
bsfp_distance,30min_1h,Between 30 minutes - 1 hour walk,,,,,,,,,
bsfp_distance,1_3h,Between 1-3 hours walk,,,,,,,,,
bsfp_distance,more_than_3h,More than 3 hours walk,,,,,,,,,
bsfp_distance,98,No response,,,,,,,,,
bsfp_distance,99,Don't know,,,,,,,,,
,,,,,,,,,,,
csb_shared_why,not_enough_food,Not enough food,,,,,,,,,
csb_shared_why,rutf_no_difference,Not all children receive supplies,,,,,,,,,
csb_shared_why,rutf_makes_worse,Adults like the food,,,,,,,,,
csb_shared_why,child_improve,The child was improving,,,,,,,,,
csb_shared_why,97,Other,,,,,,,,,
csb_shared_why,98,No response,,,,,,,,,
csb_shared_why,99,Don't know,,,,,,,,,
,,,,,,,,,,,
csb_sold_why,not_enough_food,Not enough food,,,,,,,,,
csb_sold_why,csb_no_difference,RUTF was not making a difference,,,,,,,,,
csb_sold_why,csb_makes_worse,RUTF was making the child more sick,,,,,,,,,
csb_sold_why,child_improve,The child was improving,,,,,,,,,
csb_sold_why,97,Other,,,,,,,,,
csb_sold_why,98,No response,,,,,,,,,
csb_sold_why,99,Don't know,,,,,,,,,
,,,,,,,,,,,
vaccine,yes_mother_reports,"Yes, from mother's report",Eh daga bakin maman,,,,,,,,
vaccine,yes_vaccination_card,"Yes, from vaccination card/record",Eh daga katin allura,,,,,,,,
vaccine,no,No,A'a,,,,,,,,
vaccine,98,No response,Ba amsa,,,,,,,,
vaccine,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
school_status_form,never_formal,Never attended any formal school,Bai/ba taba zuwa makarantar boko ba,,,,,,,,
school_status_form,drop_out_formal,Dropped out this year,Ya/ta bar makata awannan shekaran,,,,,,,,
school_status_form,preschool,Attending preschool,Yana/tana zuwa makarantar farko,,,,,,,,
school_status_form,primary_school,Attending primary school,Yana/tana zuwa makarantar firamari,,,,,,,,
school_status_form,junior_secondary,Attending junior secondary school,Yana/tana zuwa makarantar gaba da firamari,,,,,,,,
school_status_form,senior_secondary,Attending senior secondary school,Yana/tana zuwa makarantar gaba da firamari,,,,,,,,
school_status_form,98,No response,Ba amsa,,,,,,,,
school_status_form,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
school_status_non,never_nonformal,Never attended any non-formal education,Bai taba zuwa wani makaranta ba,,,,,,,,
school_status_non,drop_out_nonformal,Dropped out this year,Ya/ta bar makarantar awannan shekaran,,,,,,,,
school_status_non,islamia_school,Attending Islamia school,Ya/ta na zuwa makarantar islamiyyah,,,,,,,,
school_status_non,accelerated_learning,Attending Accelerated Learning Programme,Ya/ta na zuwa wani makarantar na daban ne,,,,,,,,
school_status_non,98,No response,Ba amsa,,,,,,,,
school_status_non,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
education_barrier,school_fees,Couldn't pay school fees,Samun ku?i yana nufin biya kudaden makaranta,,,,,,,,
education_barrier,out_of_school_long,Child has been out of school too many years to return,Yaro ya fita daga makaranta shekaru da yawa,,,,,,,,
education_barrier,against_formal_edu,Resistance to formal education,Yara ba kamata su sami ilimi na yamma ba,,,,,,,,
education_barrier,cloth_uniform,Children lacking appropriate clothing/uniform,,,,,,,,,
education_barrier,displacement,Displaced by conflict,,,,,,,,,
education_barrier,helping_home,Children busy helping at home,Yara suna aiki a gida,,,,,,,,
education_barrier,begging,Children begging,Yara suna rokon,,,,,,,,
education_barrier,farming,Planting/harvest season,,,,,,,,,
education_barrier,job_hawking,Children looked for/found job / hawking,,,,,,,,,
education_barrier,disability,Children with disability,,,,,,,,,
education_barrier,school_nonfunctional,The school is not functional (broken down),Makaranta ba ya aiki ,,,,,,,,
education_barrier,school_far,Distance to school,Makarantan yayi nisa,,,,,,,,
education_barrier,school_full,"The school is full, won't accept more students","Makaranta ta cika, ba za ta karbi karin ?alibai ba",,,,,,,,
education_barrier,school_poor_quality,The school has poor quality education,Makarantar tana da ilimin ilimin rashin kyau,,,,,,,,
education_barrier,school_no_wash,Inadequate or no WASH facilities at school,,,,,,,,,
education_barrier,lack_teachers,There are not enough teachers,Ba malamai isheshe,,,,,,,,
education_barrier,insecurity_at_school,Insecurity on the way to school or in the area (real or perceived),"Babu tsaro, 'ya'yanmu za a iya sace su a makaranta",,,,,,,,
education_barrier,insecurity_on_the_way,"Insecurity, our children might get abducted on the way to school","Babu tsaro, 'ya'yanmu za su iya sace su a hanyar zuwa makaranta",,,,,,,,
education_barrier,armed_group_occupy,"There are armed groups occupying the school (military, AOGs, CJTF)","Akwai ?ungiyoyi masu dauke da makamai dake zaune a makarantar (sojan, AOGs, CJTF)",,,,,,,,
education_barrier,joined_armed_group,Joined an armed group/military,,,,,,,,,
education_barrier,no_barrier,No barriers,Babu shinge,,,,,,,,
education_barrier,97,Other,Sauran,,,,,,,,
education_barrier,98,No response,Ba amsa,,,,,,,,
education_barrier,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
education_barrier_girls,marriage,Marriage,,,,,,,,,
education_barrier_girls,pregnancy,Pregnancy,,,,,,,,,
education_barrier_girls,menstrual_cycle,Menstrual cycle,,,,,,,,,
education_barrier_girls,school_fees,Couldn't pay school fees,,,,,,,,,
education_barrier_girls,out_of_school_long,Child has been out of school too many years to return,,,,,,,,,
education_barrier_girls,against_formal_edu,Resistance to formal education,,,,,,,,,
education_barrier,cloth_uniform,Children lacking appropriate clothing/uniform,,,,,,,,,
education_barrier_girls,displacement,Displaced by conflict,,,,,,,,,
education_barrier_girls,helping_home,Children busy helping at home,,,,,,,,,
education_barrier_girls,begging,Children begging,,,,,,,,,
education_barrier_girls,farming,Planting/harvest season,,,,,,,,,
education_barrier_girls,job_hawking,Children looked for/found job / hawking,,,,,,,,,
education_barrier_girls,disability,Children with disability,,,,,,,,,
education_barrier_girls,school_nonfunctional,The school is not functional (broken down),,,,,,,,,
education_barrier_girls,school_far,Distance to school,,,,,,,,,
education_barrier_girls,school_full,"The school is full, won't accept more students",,,,,,,,,
education_barrier_girls,school_poor_quality,The school has poor quality education,,,,,,,,,
education_barrier_girls,school_no_wash,Inadequate or no WASH facilities at school,,,,,,,,,
education_barrier_girls,lack_teachers,There are not enough teachers,,,,,,,,,
education_barrier_girls,insecurity_at_school,Insecurity on the way to school or in the area (real or perceived),,,,,,,,,
education_barrier_girls,insecurity_on_the_way,"Insecurity, our children might get abducted on the way to school",,,,,,,,,
education_barrier_girls,armed_group_occupy,"There are armed groups occupying the school (military, AOGs, CJTF)",,,,,,,,,
education_barrier_girls,joined_armed_group,Joined an armed group/military,,,,,,,,,
education_barrier_girls,no_barrier,No barriers,,,,,,,,,
education_barrier_girls,97,Other,,,,,,,,,
education_barrier_girls,98,No response,,,,,,,,,
education_barrier_girls,99,Don't know,,,,,,,,,
,,,,,,,,,,,
cashforeducation,no_support_needed,Do not want support,Ba na bukatar taimako,,,,,,,,
cashforeducation,provide_school_supplies,"Direct provision of school supplies (bags, pencils)","Abani su jaka, fensil da kayan makaranta",,,,,,,,
cashforeducation,provide_textbooks,Direct provision of text books,Abani takardun karatu,,,,,,,,
cashforeducation,provide_transport,Direct provision of transporation for school,Asamo mana Motan da zata kai dalibai makaranta,,,,,,,,
cashforeducation,cash_school_fees,Cash for school fees,Kudin makaranta,,,,,,,,
cashforeducation,cash_school_supplies,"Cash for bags, pencils, school supplies",Kudin kayan makarantar,,,,,,,,
cashforeducation,cash_textbooks,Cash for text books,Kudin takardar karatu,,,,,,,,
cashforeducation,cash_transport,Cash for transportation to school,Kudin motar,,,,,,,,
cashforeducation,mix_cash_school_supplies,Mix of cash and provision of school supplies,Kudin kayan makarantar,,,,,,,,
cashforeducation,mix_cash_textbook,Mix of cash and provision of text books,Kudin kayan makarantar da na takardun karatu,,,,,,,,
cashforeducation,provide_integrated_quaranic,Provision of Integrated Quaranic Education(IQE),,,,,,,,,
cashforeducation,97,Other,Sauran,,,,,,,,
cashforeducation,98,No response,Ba amsa,,,,,,,,
cashforeducation,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
cfs_type,no_cfs,No place,Ba waje,,,,,,,,
cfs_type,ngo_cfs,"Yes, to Child Friendly Space (NGO run)?ar?ashin ?ar?warar yara (NGO ta gudana)",Filin wasan yara (NGO ta gudana),,,,,,,,
cfs_type,park,"Yes, to park",Lambu,,,,,,,,
cfs_type,playground,"Yes, to playground",,,,,,,,,
cfs_type,nursery,"Yes, to nursery",Gona,,,,,,,,
cfs_type,97,Other,Sauran,,,,,,,,
cfs_type,98,No response,Ba amsa,,,,,,,,
cfs_type,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
ffs_type,no_ffs,No place,Babu waje,,,,,,,,
ffs_type,ngo_ffs,"Yes, to Women Friendly Space (NGO run)",Filin mata / ?ungiyar Mata na Mata (?ungiyar NGO),,,,,,,,
ffs_type,community_women_support_group_,"Yes, to Women's support groups at community location",?ungiyoyin tallafin mata a wuri na gari,,,,,,,,
ffs_type,women_support_group_hh,"Yes, to Women's support groups at another household",?ungiyoyin tallafin mata a wani gida,,,,,,,,
ffs_type,sewing_group,"Yes, to Sewing groups",Filin dinki,,,,,,,,
ffs_type,religious_centre,"Yes, to a religious centre",,,,,,,,,
ffs_type,97,Other group or public space,Sauran ?ungiya ko sararin samaniya,,,,,,,,
ffs_type,98,No response,Ba amsa,,,,,,,,
ffs_type,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
mhpss_needs,reduced_interest,Feeling little interest or pleasure doing things that you/they normally like,,,,,,,,,
mhpss_needs,feeling_depressed,"Feeling down, depressed or hopeless",,,,,,,,,
mhpss_needs,feeling_tired,Feeling tired or having little energy for no good reason,,,,,,,,,
mhpss_needs,trouble_sleeping,"Trouble falling asleep, staying asleep or sleeping too much",,,,,,,,,
mhpss_needs,nervousness,Felt so nervous that nothing could calm you/ them down,,,,,,,,,
mhpss_needs,afraid,Felt so afraid that nothing could calm you/ them down,,,,,,,,,
mhpss_needs,angry,Felt so angry that you felt out of control,,,,,,,,,
mhpss_needs,98,No response,,,,,,,,,
mhpss_needs,99,Don't know,,,,,,,,,
,,,,,,,,,,,
security_incident,killing,Killing ,Kisa,,,,,,,,
security_incident,physical_violence,Physical violence,,,,,,,,,
security_incident,abduction_adult,Abduction or forced recruitment of adults,Kamawa,,,,,,,,
security_incident,abduction_children,Abduction or forced recruitment of children,,,,,,,,,
security_incident,armed_attack,Armed attacks,Hare-haren ta'addanci,,,,,,,,
security_incident,fire,Fire outbreak,Gobara,,,,,,,,
security_incident,destruction_property,Destruction of properties / looting,Rushe dukiya,,,,,,,,
security_incident,explosives,Incident related to explosive hazards,Gabatar da minti / UXOs,,,,,,,,
security_incident,gbv,Sexual assault / Gender-based violence,Cin zarafi/tashin hankali na maza,,,,,,,,
security_incident,97,Other incident,Sauran,,,,,,,,
security_incident,98,No response,Ba amsa,,,,,,,,
security_incident,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
incident_where,current_location,In current location,A halin yanzu,,,,,,,,
incident_where,during_movement,While traveling between area of origin and current location,Duk da yake tafiya tsakanin wurare,,,,,,,,
incident_where,aoo,In village / area of origin,A kauyen / yanki na asali,,,,,,,,
incident_where,around_location,"In area around/close to current community (e.g. while collecting firewood or water, in farm land, etc.)",,,,,,,,,
incident_where,97,Other,Sauran,,,,,,,,
incident_where,98,No response,Ba amsa,,,,,,,,
incident_where,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
docs_challenges,no_challenge,No challenges,Babu kaluballe,,,,,,,,
docs_challenges,cant_attend_school,Children unable to attend school,Yara da ba za su halarci makaranta ba,,,,,,,,
docs_challenges,cant_move_freely_in_town,Unable to move freely within town,Ba za a iya tafiya cikin yardar kaina a cikin gari ba,,,,,,,,
docs_challenges,cant_move_for_work,Unable to move freely for work,Ba za a iya motsawa kyauta ba don aiki,,,,,,,,
docs_challenges,arrest_detention,Arrest or detention by CJTF or Miilitary,CJTF/Soja ne suka kama shi,,,,,,,,
docs_challenges,cant_vote,Unable to register to vote,Ban iya nayi rajistar jefa kuri'a ba,,,,,,,,
docs_challenges,97,Other,Sauran,,,,,,,,
docs_challenges,98,No response,Ba amsa,,,,,,,,
docs_challenges,99,Don’t know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
restricted,restriction_night,"Yes, but only during the evening and nighttime","Haka ne, amma a lokacin yamma da dare",,,,,,,,
restricted,restriction_large_group,"Yes, but only if going with large groups","Haka ne, amma idan akwai mutane masu yawa",,,,,,,,
restricted,restriction_complete,"Yes, complete movement restrictions","Haka ne, cikakke ?untata hanyoyi",,,,,,,,
restricted,restriction_2km,"Yes, from km outside of the camp or community","Haka ne, daga 5-10km a waje da sansanin ko al'umma",,,,,,,,
restricted,restriction_id,"Yes, but only if no means of identification",,,,,,,,,
restricted,no_restriction,No movement restriction,,,,,,,,,
restricted,97,Other,Sauran,,,,,,,,
restricted,98,No response,Ba amsa,,,,,,,,
restricted,99,Don’t know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
restriction_reason,perceived_armed_groups,"Self-imposed, perceive the area is not safe due to armed groups","Tsayar da kanka, gane cewa yankin ba shi da lafiya",,,,,,,,
restriction_reason,perceived_explosives,"Self-imposed, perceive the area is not safe due to explosive hazards",,,,,,,,,
restriction_reason,military,Military sets curfew / restriction,Sojoji sun kaddamar da kulle,,,,,,,,
restriction_reason,97,Other,Sauran,,,,,,,,
restriction_reason,98,No response,Ba amsa,,,,,,,,
restriction_reason,99,Don’t know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
detain_missing,boy_aog,Boy (under 18) taken by AOGs / Boko Haram,Yaron (a karkashin 18) da AOGs / Boko Haram suka dauka,,,,,,,,
detain_missing,girl_aog,Girl (under 18) taken by AOGs / Boko Haram,Yarinyar (a karkashin 18) da AOGs / Boko Haram suka dauka,,,,,,,,
detain_missing,boy_cjtf,Boy (under 18) taken by CJTF,Yaron (a karkashin 18) da CJTF ya ?auka,,,,,,,,
detain_missing,girl_cjtf,Girl (under 18) taken by CJTF,Yarinyar (a karkashin 18) da CJTF ta dauka,,,,,,,,
detain_missing,child_trafficking,Child trafficked out of state/country,Yaro (a karkashin 18) ?ayan ?ungiyoyi masu dauke da makamai,,,,,,,,
detain_missing,man_aog,Adult men taken by AOGs / Boko Haram,Maza da AOGs / Boko Haram suka yi,,,,,,,,
detain_missing,woman_aog,Women taken by AOGs / Boko Haram,Mata masu dauke da AOGs / Boko Haram,,,,,,,,
detain_missing,man_detained,Men detained by police/military,Maza da 'yan sanda / soja suka tsare,,,,,,,,
detain_missing,woman_detained,Women detained by police/military,Mata da 'yan sanda / soja suka tsare,,,,,,,,
detain_missing,child_detained,Child detained by police/military,,,,,,,,,
detain_missing,child_lost_displ,Child lost during HH displacement / movement,,,,,,,,,
detain_missing,adult_lost_displ,Adult lost during HH displacement / movement,,,,,,,,,
detain_missing,97,Other,Sauran,,,,,,,,
detain_missing,98,No response,Ba amsa,,,,,,,,
detain_missing,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
cashsafety,cash_safe,"Yes, it is safe","Eh, tana da lafIya",,,,,,,,
cashsafety,not_safe_traveling,"No, would not feel safe traveling to distribution point",A'a bana jin akwai kwanciyar hankali awajen karbar taimakon,,,,,,,,
cashsafety,not_safe_distribution,"No, would not feel safe at the distribution point",A'a ina jin akwai kwanciyar hankali awajen karbar taimakon,,,,,,,,
cashsafety,not_safe_home,"No, would not feel safe at home",A'a bana jin akwai kwanciyar hankali agida,,,,,,,,
cashsafety,97,Other,Sauran,,,,,,,,
cashsafety,98,No response,Ba amsa,,,,,,,,
cashsafety,99,Don't know,Ban sani ba,,,,,,,,
,,,,,,,,,,,
labour_exploitation,no_payment,"Working for someone, but not getting payment",,,,,,,,,
labour_exploitation,forced_work,Forced to perform work against their will,,,,,,,,,
labour_exploitation,excessive_hours,Excessive working hours,,,,,,,,,
labour_exploitation,receive_less_than_promised,Receive less payment than what they were promised at the beginning,,,,,,,,,
labour_exploitation,receive_less_than_others,Receive less than what other people in the community were receiving for the same kind of work,,,,,,,,,
labour_exploitation,denied_movement,Denied freedom of movement whilst at work,,,,,,,,,
labour_exploitation,denied_food_drink_medical,Denied food/drink/medical treatment,,,,,,,,,
labour_exploitation,none,None of these experienced,,,,,,,,,
labour_exploitation,98,No response,,,,,,,,,
labour_exploitation,99,Don't know,,,,,,,,,
,,,,,,,,,,,
labour_exploitation_who,men,Men,,,,,,,,,
labour_exploitation_who,women,Women,,,,,,,,,
labour_exploitation_who,boy,Boy(s),,,,,,,,,
labour_exploitation_who,girl,Girl(s),,,,,,,,,
labour_exploitation_who,elderly,Elderly,,,,,,,,,
labour_exploitation_who,98,No response,,,,,,,,,
labour_exploitation_who,99,Don't know,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
labour_exploitation_work,domestic_work,Household/domestic work (in other household),,what about prostitution???,,,,,,,
labour_exploitation_work,farming,Farming/agriculture,,,,,,,,,
labour_exploitation_work,construction,Construction,,,,,,,,,
labour_exploitation_work,mining,Mining,,,,,,,,,
labour_exploitation_work,fishing,Fishing,,,,,,,,,
labour_exploitation_work,hotel_restaurant,Hotel/restaurant/hospitality,,,,,,,,,
labour_exploitation_work,97,Other,,,,,,,,,
labour_exploitation_work,98,No response,,,,,,,,,
labour_exploitation_work,99,Don't know,,,,,,,,,
,,,,,,,,,,,
access_last,no_access,Not since left,A'a ban tafi ba,,,,,,,,
access_last,within_week,Within the last two weeks,Asatin da ya wuce,,,,,,,,
access_last,2weeks_1month,Greater than 2 weeks but less than 1 month,Yafi sati biyu amma bai kai wata daya ba,,,,,,,,
access_last,1_3_months,Greater than 1 month but less than 3 months,Yafi wata daya amma bai kai wata uku ba,,,,,,,,
access_last,more_than_3months,Greater than 3 months ago,Yafi wata uku,,,,,,,,
access_last,98,No response,Sauran,,,,,,,,
access_last,99,Don't know ,Ban sani ba,,,,,,,,
,,,,,,,,,,,
